CVE-2005-0255; cpe:/a:mozilla:firefox:; 1.0.2
CVE-2012-3253; cpe:/a:hp:intelligent_management_center:; 5.0:e0101p05
CVE-2012-3365; cpe:/a:php:php:; 5.3.15
CVE-2012-3369; cpe:/a:redhat:jboss_enterprise_brms_platform:; 5.3.1
CVE-2012-3554; cpe:/a:rsgallery2:com_rsgallery2:; 2.3.0
CVE-2012-3554; cpe:/a:rsgallery2:com_rsgallery2:; 3.2.0
CVE-2012-3585; cpe:/a:irfanview:irfanview_plugins:; 4.34
CVE-2012-3618; cpe:/a:apple:safari:5.0.; 6.0
CVE-2012-3692; cpe:/a:apple:itunes:; 10.7
CVE-2012-3712; cpe:/a:apple:itunes:; 10.7
CVE-2012-4002; cpe:/a:glpi-project:glpi:; 0.83.3
